feature,chi2,p
exang,130.47092725153843,3.232318404569206e-30
cp,72.60797390202447,1.5813882892348496e-17
ca,52.656479872765274,3.972979170409123e-13
oldpeak,40.91184856369668,1.5925269505226704e-10
sex,24.373650078007852,7.934660597688801e-07
slope,16.836974033752703,4.073193417749792e-05
thalach,9.471895356565181,0.0020864369080654784
thal,6.457821537942236,0.01104649908755063
restecg,4.869671311195792,0.02733270599941869
age,3.6305526676135838,0.056727975671489295
trestbps,1.5176741911347562,0.21797179701893735
fbs,1.4775496219706494,0.22415830055790922
chol,0.5182257890580766,0.4715994926427687
